Mfg Part Num	Description	Qty-1	Part References	Price(USD):	Mfr:	Distr:	Digi-Key P/N:	Notes
GRM188R72A471KA01D	Capacitor: 470pF, 100V, 10%, X7R	1	C11		Murata	ANY	490-1467-2-ND	
AP3032KTR-G1	Driver: LED, Regulator/Dimmer	1	U8		Diodes Incorporated	ANY	AP3032KTR-G1DICT-ND	
ATMEGA328-AUR	Microprocessor: AVR, 20MHz, 8-Bit Core	1	U2		Atmel	ANY	ATMEGA328-AURCT-ND	
B340A-13-F	Diode: Rectifier (Schottky), 3A, 40V	1	D1		Diodes Incorporated	ANY	FB340A-FDICT-ND	
RC0603JR-070RL	Resistor: 0.0 Ohm, 0.1W, 0%	1	R16		Yageo	ANY	311-0.0GRCT-ND	
DRV8825PWPR	Motor Driver: Bipolar, Stp/Dir, 1/32, 2.5A	1	U3		Texas Instruments	ANY	296-29503-1-ND	
S6B-PH-SM4-TB(LF)(SN)	Connector: 2.0mm (JST), SMT, R/A, 6-POS(M)	1	J4		JST	ANY	455-1753-1-ND	
MCP4725A0T-E/CH	DAC: 12BIT, I2C	1	U10		Microchip Tech.	ANY	MCP4725A0T-E/CHCT-ND	
B8B-PH-SM4-TB(LF)(SN)	Connector: 2.0mm (JST), SMT, VRT, 8-POS(M)	1	J1		JST	ANY	455-1740-1-ND	
S4B-PH-SM4-TB(LF)(SN)	Connector: 2.0mm (JST), SMT, R/A, 4-POS(M)	1	J3		JST	ANY	455-1751-1-ND	
MPXV5004GP	Sensor: Pressure, 0.57PSI, 5V	1	X1		Freescale Semi	ANY	MPXV5004GP-ND	
NTR4003NT3G	MOSFET: N-Ch, 30V, 500mA	5	U4, U5, U6, U7, U11		ON Semiconductor	ANY	NTR4003NT3GOSCT-ND	
SN74LVC1G32DBVR	Logic Gate: OR, 1-CH, SOT23-5	1	U9		Texas Instruments	ANY	296-9847-1-ND	
B2B-PH-SM4-TB(LF)(SN)	Connector: 2.0mm (JST), SMT, VRT, 2-POS(M)	1	J7		JST	ANY	455-1734-1-ND	
S4B-PH-SM4-TB(LF)(SN)	Connector: 2.0mm (JST), SMT, R/A, 4-POS(M)	1	J5		JST	ANY	455-1751-1-ND	
B7B-PH-SM4-TB(LF)(SN)	Connector: 2.0mm (JST), SMT, VRT, 7-POS(M)	1	J6		JST	ANY	455-1739-1-ND	
SP3485	Transceiver: RS-485 Chip	1	U1		EXAR	ANY	1016-1817-1-ND	
67996-206HLF	Connector: Header, 0.1ﾔ, 6-Pin, Male, Thru-Hole	1	J2		FCI	ANY	609-3210-ND	
TC1015-3.3VCT713	Voltage Reg(LDO): Vi=6V, Vo=3.3V, Io=0.1A	1	VR1		Microchip Tech.	ANY	TC1015-3.3VCT713CT-ND	
			TOTAL:					
